Date and Time: 2026-01-29 11:48:11,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
690.178762,-6.073,-3.15,32.34283,32.89777,33.43201,33.64117,33.99194,33.9881,34.05206,34.11319
690.2197888,-6.034,-3.133,32.32053,32.87622,33.4111,33.62323,33.97571,33.97244,34.03662,34.09613
690.3039539,-6.006,-3.114,32.30402,32.86142,33.39795,33.61105,33.965,33.96149,34.02658,34.08694
690.3735149,-5.965,-3.097,32.28101,32.84036,33.37726,33.59137,33.94751,33.9454,34.01215,34.07382
690.4461229,-5.936,-3.078,32.26581,32.82623,33.36533,33.57935,33.93631,33.93488,34.00177,34.06354
690.553932,-5.893,-3.06,32.24249,32.80429,33.34488,33.56131,33.9205,33.91861,33.98541,34.04733
690.5989249,-5.864,-3.039,32.22836,32.79044,33.33096,33.54834,33.90887,33.90808,33.97583,34.03946
690.6738489,-5.82,-3.021,32.20551,32.76895,33.31229,33.53015,33.89191,33.89227,33.96036,34.02298
690.749208,-5.791,-3,32.19046,32.75458,33.29761,33.51697,33.88025,33.88065,33.94946,34.01132
690.8647108,-5.746,-2.982,32.16718,32.73334,33.27802,33.49893,33.86328,33.86383,33.93454,33.99918
690.899596,-5.714,-2.961,32.15176,32.71918,33.26605,33.4866,33.8522,33.853,33.9234,33.98734
690.9833229,-5.669,-2.941,32.12967,32.6973,33.24399,33.46677,33.83487,33.83752,33.90799,33.97134
691.051101,-5.636,-2.92,32.11511,32.68372,33.23151,33.45486,33.82385,33.82654,33.89676,33.96024
691.129494,-5.588,-2.899,32.09256,32.66257,33.2124,33.43649,33.80597,33.80902,33.88113,33.94656
691.2388799,-5.557,-2.876,32.07739,32.64856,33.19965,33.42383,33.79453,33.79855,33.87054,33.93549
691.280252,-5.508,-2.856,32.0563,32.62744,33.17856,33.40497,33.7778,33.7818,33.8541,33.91937
691.3645759,-5.474,-2.832,32.04117,32.61343,33.16617,33.39297,33.76639,33.77078,33.8429,33.90799
691.4364779,-5.424,-2.813,32.01932,32.5928,33.14627,33.37311,33.74832,33.75354,33.82785,33.89441
691.5444698,-5.39,-2.788,32.0051,32.57953,33.13376,33.36075,33.73642,33.74185,33.81616,33.88235
691.6069088,-5.339,-2.768,31.98328,32.55743,33.11255,33.34225,33.71954,33.72482,33.79932,33.86649
691.6696298,-5.304,-2.743,31.96783,32.54324,33.10025,33.3298,33.7077,33.71359,33.78867,33.85675
691.7352908,-5.252,-2.721,31.94745,32.5228,33.07932,33.31052,33.69025,33.69745,33.77289,33.84088
691.8096268,-5.216,-2.696,31.93378,32.5094,33.06616,33.298,33.67819,33.68582,33.76205,33.82886
691.9064579,-5.162,-2.674,31.91098,32.4884,33.04651,33.27966,33.66052,33.66751,33.745,33.8129
691.968071,-5.126,-2.648,31.89746,32.4744,33.03348,33.26703,33.64847,33.6564,33.73392,33.80325
692.0384479,-5.071,-2.625,31.8761,32.45404,33.01343,33.24796,33.63098,33.64005,33.71741,33.78494
692.1131859,-5.035,-2.6,31.8624,32.44009,33.00131,33.23523,33.61942,33.62921,33.70642,33.77365
692.1896448,-4.979,-2.576,31.84052,32.42014,32.98196,33.21692,33.60123,33.61075,33.68881,33.75854
692.295311,-4.942,-2.55,31.82809,32.40659,32.96848,33.20392,33.58896,33.59851,33.67761,33.74771
692.3506048,-4.884,-2.527,31.80762,32.38632,32.94824,33.18457,33.57126,33.58243,33.66095,33.72961
692.4154668,-4.846,-2.499,31.7937,32.37241,32.93497,33.17157,33.55914,33.57004,33.64957,33.71939
692.491663,-4.787,-2.474,31.77206,32.35193,32.91541,33.15332,33.54132,33.55246,33.63239,33.70251
