Date and Time: 2026-01-26 11:50:34,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
630.728786,6.085,3.099,32.56088,32.38391,32.47797,32.47897,32.53085,32.44232,32.42801,32.43277
630.824471,5.994,3.041,32.57947,32.39676,32.48477,32.48395,32.53171,32.44235,32.42612,32.42993
630.9073408,5.852,2.987,32.60727,32.41589,32.49667,32.49103,32.53311,32.4415,32.42542,32.42841
630.9581699,5.754,2.921,32.625,32.42792,32.50513,32.49582,32.53394,32.44135,32.42413,32.42651
631.0279398,5.598,2.862,32.65231,32.4465,32.51639,32.50424,32.53653,32.4418,32.42151,32.423
631.113657,5.489,2.789,32.67078,32.45883,32.52423,32.50974,32.53842,32.44138,32.42102,32.42087
631.2133288,5.32,2.723,32.69852,32.47888,32.53656,32.51736,32.54031,32.44293,32.42099,32.41913
631.2521999,5.203,2.644,32.71674,32.49158,32.54446,32.52325,32.54266,32.44403,32.42023,32.41876
631.3478849,5.021,2.573,32.74222,32.51077,32.55835,32.53296,32.54605,32.44427,32.41861,32.41672
631.4072058,4.895,2.488,32.76013,32.52396,32.56668,32.53906,32.54813,32.44485,32.41858,32.41559
631.5038919,4.7,2.408,32.78708,32.5441,32.57925,32.54749,32.55212,32.44775,32.41928,32.41373
631.6001589,4.568,2.315,32.80478,32.55698,32.58817,32.55389,32.55457,32.44949,32.41937,32.41327
631.6393049,4.363,2.232,32.82944,32.57709,32.60327,32.56387,32.55865,32.45004,32.41946,32.4137
631.706146,4.223,2.135,32.84686,32.58969,32.61172,32.57126,32.56165,32.4519,32.4198,32.41324
631.7958529,4.007,2.045,32.87204,32.60922,32.62537,32.58066,32.5668,32.45551,32.42032,32.41098
631.8995738,3.86,1.941,32.88782,32.62219,32.63464,32.58774,32.56989,32.45715,32.42139,32.41095
631.9434319,3.636,1.848,32.91177,32.64221,32.6492,32.59827,32.57465,32.45984,32.42297,32.41263
632.0225348,3.481,1.738,32.92712,32.65521,32.65826,32.60547,32.57816,32.46179,32.42401,32.41269
632.0903149,3.247,1.642,32.95038,32.67358,32.67282,32.61627,32.58426,32.46616,32.4252,32.4119
632.1889868,3.091,1.528,32.96494,32.68604,32.68259,32.62357,32.58804,32.46844,32.42636,32.41299
632.2857728,2.849,1.426,32.98688,32.70605,32.69727,32.6337,32.59363,32.4726,32.42957,32.41455
632.3834469,2.521,1.235,33.01529,32.7305,32.71646,32.64853,32.60202,32.47839,32.43292,32.4158
632.4750998,2.354,1.118,33.02792,32.74252,32.72549,32.65582,32.60626,32.48135,32.43463,32.41754
632.5200369,2.101,1.012,33.04681,32.76019,32.74048,32.6684,32.61313,32.48553,32.43686,32.41919
632.5848649,1.933,0.89,33.05917,32.77209,32.75021,32.67572,32.6178,32.48859,32.43939,32.42102
632.6838679,1.675,0.779,33.07819,32.78946,32.76373,32.68604,32.62457,32.49469,32.44293,32.42145
632.767591,1.501,0.653,33.08981,32.80026,32.7724,32.69354,32.62955,32.49866,32.44528,32.4231
632.8194199,1.242,0.54,33.10449,32.81769,32.78809,32.70569,32.63626,32.50296,32.44904,32.42685
632.9041429,1.066,0.413,33.11511,32.82843,32.79733,32.71323,32.64102,32.50674,32.45157,32.42911
632.9739099,0.802,0.309,33.13043,32.84396,32.81027,32.72443,32.64951,32.5134,32.45578,32.43097
633.0715878,0.626,0.218,33.13962,32.85388,32.81952,32.73187,32.65454,32.5174,32.45859,32.43323
633.1533189,0.36,0.154,33.15234,32.86987,32.83362,32.74271,32.66113,32.52283,32.46381,32.43787
633.2071409,0.181,0.106,33.16064,32.87967,32.84229,32.75006,32.66638,32.52686,32.46674,32.44046
633.264951,-0.084,-0.076,33.17203,32.8927,32.85522,32.76172,32.67499,32.5332,32.4711,32.44324
633.3606348,-0.26,-0.077,33.17868,32.90198,32.86417,32.76889,32.6806,32.53796,32.47421,32.4462
633.4572408,-0.527,-0.109,33.18878,32.91568,32.87698,32.77896,32.68771,32.54456,32.48047,32.45074
633.4968879,-0.704,-0.187,33.1944,32.92401,32.88486,32.7865,32.69299,32.54941,32.48392,32.45349
633.5842359,-0.97,-0.271,33.20221,32.93558,32.89737,32.79761,32.70151,32.55524,32.4884,32.45853
633.6549499,-1.144,-0.384,33.20642,32.94302,32.90555,32.80423,32.70721,32.55963,32.49237,32.46127
633.749362,-1.406,-0.487,33.21378,32.95465,32.91656,32.81415,32.71487,32.56769,32.49893,32.46552
633.7991979,-1.58,-0.61,33.21707,32.96136,32.92383,32.82071,32.72086,32.57239,32.50253,32.46906
633.8790679,-1.84,-0.72,33.22134,32.9711,32.93576,32.83084,32.72882,32.57837,32.50833,32.47525
633.9457748,-2.009,-0.846,33.22333,32.97778,32.94302,32.83752,32.73419,32.58301,32.5127,32.4787
634.040463,-2.263,-0.958,33.22766,32.98584,32.95258,32.84644,32.74268,32.59155,32.51892,32.48303
634.1372218,-2.431,-1.083,33.22906,32.99164,32.95926,32.85269,32.74817,32.59586,32.52274,32.487
634.233408,-2.68,-1.194,33.23157,32.99951,32.96973,32.86136,32.75586,32.60281,32.52924,32.49457
634.330107,-3.004,-1.389,33.23221,33.00916,32.98151,32.87347,32.76624,32.61276,32.53809,32.5011
634.3699758,-3.162,-1.507,33.23178,33.01334,32.98712,32.87927,32.77148,32.61795,32.54251,32.50552
634.465673,-3.397,-1.611,33.2309,33.01849,32.99545,32.88797,32.77979,32.62476,32.5484,32.51053
634.525476,-3.552,-1.726,33.22992,33.02203,33.00104,32.89322,32.78546,32.62964,32.55283,32.51447
634.6231499,-3.78,-1.827,33.22845,33.02731,33.00925,32.90005,32.79276,32.63797,32.56039,32.52197
634.7188349,-3.926,-1.938,33.22623,33.03,33.01376,32.90506,32.79791,32.6424,32.5654,32.52554
634.7577069,-4.145,-2.035,33.2222,33.0332,33.02106,32.91324,32.80569,32.64883,32.57111,32.5318
