Date and Time: 2026-01-29 10:39:02,,,,,,,,,,
Approximate Polling Time: 100 ms,,,,,,,,,,
Comments: No comments provided,,,,,,,,,,
timestamp/s,voltage/V,current/A,thermistor_0/C,thermistor_1/C,thermistor_2/C,thermistor_3/C,thermistor_4/C,thermistor_5/C,thermistor_6/C,thermistor_7/C
0,4.26,2.05,32.89081,32.44666,32.34518,32.20514,32.05518,31.89737,31.81497,31.77182
0.077987909,4.133,1.994,32.91321,32.46793,32.36362,32.21997,32.06604,31.9061,31.82306,31.77917
0.153033018,4.045,1.932,32.92761,32.48184,32.37582,32.22949,32.07364,31.91306,31.82843,31.7843
0.228487015,3.913,1.877,32.94962,32.5007,32.39246,32.24533,32.08517,31.92233,31.83633,31.79065
0.302870035,3.826,1.813,32.96341,32.51456,32.40439,32.25571,32.09314,31.92932,31.84186,31.79553
0.379909039,3.69,1.756,32.98474,32.53497,32.42206,32.26996,32.1041,31.93951,31.85117,31.80441
0.454735041,3.599,1.688,32.99826,32.54834,32.43375,32.27988,32.11191,31.94669,31.85727,31.80881
0.530009031,3.461,1.629,33.01776,32.56735,32.45132,32.29572,32.12418,31.95615,31.86542,31.81769
0.605840921,3.368,1.561,33.03116,32.57986,32.46252,32.30603,32.13217,31.96323,31.87183,31.82272
0.683084011,3.227,1.5,33.05017,32.59933,32.48026,32.32028,32.14398,31.97446,31.88083,31.83081
0.757875919,3.132,1.431,33.06284,32.61188,32.49127,32.33032,32.15207,31.98166,31.8873,31.83655
0.834280968,2.988,1.367,33.0798,32.63058,32.50879,32.34549,32.16397,31.99173,31.89722,31.84601
0.908746958,2.891,1.295,33.09192,32.64236,32.52036,32.35593,32.17203,31.99872,31.90335,31.85312
0.984352112,2.746,1.231,33.10873,32.66006,32.53592,32.37027,32.18491,32.01065,31.91293,31.86002
1.060153961,2.646,1.159,33.12,32.67184,32.54712,32.38058,32.19339,32.01804,31.91946,31.86664
1.135740995,2.497,1.094,33.13669,32.69022,32.56448,32.39481,32.20514,32.02911,31.93027,31.87607
1.211558104,2.398,1.02,33.14688,32.70166,32.57553,32.40469,32.21371,32.03668,31.93686,31.88217
1.287156105,2.246,0.954,33.1615,32.71765,32.59167,32.42041,32.22665,32.04816,31.94684,31.89172
1.362760067,2.146,0.879,33.17072,32.72888,32.60269,32.43048,32.23532,32.05554,31.95322,31.89923
1.439846992,1.993,0.812,33.18597,32.74554,32.61676,32.44296,32.24725,32.06775,31.96509,31.90948
1.514750004,1.89,0.737,33.19427,32.75577,32.62839,32.45325,32.25565,32.07559,31.97183,31.91501
1.591844082,1.735,0.668,33.20612,32.77103,32.64432,32.46826,32.26883,32.08682,31.98224,31.92548
1.667587996,1.633,0.592,33.21387,32.78149,32.65463,32.478,32.27719,32.09409,31.98938,31.93265
1.742856026,1.476,0.524,33.2265,32.79657,32.66913,32.49136,32.28986,32.10712,32.00049,31.9422
1.81584692,1.372,0.447,33.23334,32.8063,32.67963,32.50085,32.29916,32.1149,32.0079,31.95007
1.894900084,1.214,0.379,33.24475,32.82108,32.69482,32.51517,32.31088,32.12601,32.01889,31.96121
1.966990948,1.11,0.305,33.25116,32.83023,32.7041,32.52426,32.31934,32.1347,32.02679,31.96741
2.044922113,0.952,0.242,33.26041,32.84262,32.71848,32.53751,32.33221,32.14667,32.03754,31.97781
2.120857954,0.845,0.182,33.26617,32.85153,32.72699,32.54681,32.34097,32.15439,32.04492,31.98532
2.196922064,0.686,0.14,33.27457,32.86505,32.74173,32.55988,32.35345,32.16696,32.05728,31.99612
2.270426989,0.58,0.108,33.27966,32.8732,32.75046,32.56851,32.36188,32.17477,32.06451,32.00452
2.349097967,0.42,0.085,33.28568,32.88461,32.76395,32.58255,32.375,32.18619,32.07529,32.01501
2.424093008,0.314,0.065,33.29019,32.89236,32.77261,32.59082,32.38318,32.19452,32.08322,32.02335
2.499591112,0.155,0.051,33.29697,32.90378,32.78525,32.60281,32.39575,32.20734,32.09531,32.03406
2.574150085,0.047,0.037,33.30075,32.91165,32.79419,32.61133,32.40411,32.21542,32.10303,32.0416
2.65052104,-0.112,-0.031,33.30457,32.92175,32.80655,32.62408,32.41611,32.22623,32.11429,32.05298
2.726756096,-0.217,-0.052,33.30771,32.92801,32.81448,32.63205,32.42422,32.23465,32.12244,32.06134
2.8004601,-0.378,-0.082,33.31177,32.93771,32.82608,32.64417,32.43735,32.24728,32.13397,32.07211
2.877491951,-0.485,-0.136,33.314,32.94318,32.83328,32.65179,32.44565,32.2558,32.14148,32.07843
2.954361916,-0.644,-0.188,33.3168,32.9527,32.84512,32.66348,32.45715,32.26718,32.15381,32.09164
3.030143976,-0.749,-0.259,33.31833,32.95865,32.85254,32.67099,32.46521,32.27512,32.16199,32.10022
3.106343031,-0.908,-0.324,33.31943,32.96603,32.86325,32.68304,32.47797,32.28699,32.17273,32.11066
3.18016696,-1.014,-0.399,33.32074,32.97119,32.86984,32.69012,32.48636,32.29492,32.18069,32.11865
3.256381989,-1.172,-0.466,33.32272,32.97885,32.88083,32.70038,32.49716,32.30664,32.19281,32.13147
3.332011938,-1.278,-0.545,33.32291,32.98376,32.88715,32.70715,32.50516,32.31485,32.20078,32.13831
3.407422066,-1.434,-0.614,33.32269,32.99002,32.89722,32.71848,32.51721,32.32608,32.21185,32.15009
3.481481075,-1.538,-0.691,33.32269,32.99438,32.9032,32.72571,32.52496,32.33383,32.21951,32.15802
3.559860945,-1.694,-0.758,33.32315,33.00061,32.9118,32.73477,32.53622,32.34619,32.23172,32.16922
3.634857893,-1.798,-0.837,33.32233,33.00443,32.91782,32.74149,32.54395,32.3541,32.23932,32.17682
3.708986998,-1.952,-0.904,33.32101,33.01001,32.92703,32.75143,32.55487,32.36401,32.25061,32.18927
3.783737898,-2.053,-0.981,33.31976,33.01309,32.9313,32.75754,32.5621,32.37192,32.25919,32.198
3.860527992,-2.206,-1.047,33.31851,33.01761,32.93924,32.76669,32.57391,32.38412,32.27014,32.20853
3.937761068,-2.308,-1.124,33.31708,33.02029,32.94431,32.77277,32.58118,32.39133,32.27756,32.21603
4.014375925,-2.458,-1.19,33.31384,33.02536,32.95285,32.7814,32.59137,32.4024,32.28955,32.22849
4.089215994,-2.557,-1.266,33.31223,33.02765,32.9574,32.78711,32.59842,32.40985,32.29721,32.2366
4.164248943,-2.705,-1.332,33.3071,33.03024,32.96429,32.79599,32.60938,32.42075,32.30792,32.24765
4.238632917,-2.803,-1.405,33.30518,33.03235,32.96872,32.80167,32.61636,32.42798,32.31534,32.25531
4.31751895,-2.95,-1.471,33.30078,33.03543,32.97455,32.80865,32.62589,32.43887,32.32703,32.26675
4.391846895,-3.044,-1.543,33.29688,33.03674,32.97897,32.81378,32.63312,32.44604,32.33417,32.27393
4.467088938,-3.188,-1.605,33.29083,33.03836,32.98489,32.82214,32.64285,32.4556,32.34476,32.28598
4.542711973,-3.283,-1.676,33.28647,33.03946,32.98856,32.82709,32.64954,32.46295,32.35248,32.2926
4.619879961,-3.424,-1.739,33.28046,33.04059,32.99335,32.83353,32.65955,32.47372,32.36313,32.30396
4.694772959,-3.517,-1.808,33.27597,33.0415,32.99692,32.8382,32.66586,32.48056,32.37039,32.31134
4.771492958,-3.655,-1.868,33.26749,33.04236,33.00235,32.84509,32.67459,32.48978,32.38104,32.32352
4.847630024,-3.744,-1.935,33.26205,33.04221,33.00488,32.84946,32.68115,32.4968,32.38824,32.33041
4.923852921,-3.878,-1.993,33.25333,33.04126,33.00833,32.85547,32.69064,32.50674,32.39789,32.33957
4.997256994,-3.967,-2.059,33.24786,33.04114,33.01135,32.85974,32.69626,32.5134,32.40494,32.34747
5.074551105,-4.098,-2.117,33.23895,33.04059,33.01529,32.86469,32.70474,32.52304,32.41589,32.35995
5.148591042,-4.183,-2.179,33.23221,33.03989,33.01764,32.86847,32.71048,32.52921,32.42319,32.36649
5.225776911,-4.31,-2.235,33.22086,33.03735,33.02042,32.87476,32.71939,32.53818,32.43207,32.37665
5.299240112,-4.394,-2.296,33.21396,33.03607,33.02258,32.87769,32.72485,32.54388,32.43863,32.38318
5.377903938,-4.518,-2.35,33.20306,33.03412,33.0246,32.88202,32.73334,32.55426,32.44974,32.39471
5.450644016,-4.598,-2.411,33.19482,33.0318,33.02499,32.88461,32.73807,32.56058,32.45578,32.4006
5.528927088,-4.717,-2.464,33.18246,33.02863,33.02789,32.88943,32.74557,32.5676,32.4649,32.41125
5.601501942,-4.796,-2.52,33.1741,33.02606,33.02884,32.89206,32.75073,32.57346,32.47131,32.41849
5.679780006,-4.912,-2.571,33.16141,33.02194,33.02924,32.89566,32.7587,32.58255,32.4812,32.42755
5.754693031,-4.987,-2.624,33.1528,33.01883,33.02963,32.89807,32.76303,32.58786,32.48706,32.43381
5.830656052,-5.099,-2.672,33.13837,33.01477,33.03116,32.90103,32.76971,32.59546,32.49637,32.4451
5.906780005,-5.171,-2.725,33.12891,33.01154,33.0307,32.90323,32.77429,32.60083,32.50259,32.45123
5.984581947,-5.276,-2.77,33.11386,33.0051,33.03125,32.90619,32.78131,32.6091,32.51065,32.45966
6.057544947,-5.347,-2.819,33.10419,33.0015,33.03018,32.90756,32.78543,32.61389,32.51636,32.46536
6.134952068,-5.449,-2.864,33.08929,32.99554,33.03,32.9093,32.79172,32.62173,32.526,32.47699
6.208250046,-5.514,-2.912,33.0791,32.99182,33.02911,32.91013,32.7952,32.62634,32.53128,32.48175
6.285885096,-5.611,-2.952,33.0621,32.98413,33.02765,32.9129,32.80103,32.63232,32.53867,32.49054
6.358671904,-5.675,-2.998,33.05112,32.97937,33.0264,32.91376,32.80496,32.63708,32.5441,32.49597
6.437864065,-5.767,-3.037,33.03552,32.97217,33.02463,32.91458,32.81094,32.64529,32.55237,32.5047
6.512439966,-5.826,-3.08,33.02377,32.96713,33.02325,32.91504,32.81412,32.6496,32.55798,32.51016
6.589003086,-5.914,-3.116,33.00537,32.95886,33.02133,32.91599,32.81839,32.65497,32.56528,32.51981
6.663510084,-5.97,-3.157,32.9946,32.9538,33.0195,32.91632,32.82205,32.65927,32.57004,32.5246
6.739787102,-6.052,-3.191,32.97675,32.94373,33.01538,32.91605,32.82739,32.66608,32.57681,32.5325
6.814558983,-6.106,-3.23,32.96378,32.93802,33.01334,32.91583,32.82986,32.66989,32.58182,32.53726
6.891470909,-6.182,-3.262,32.94473,32.92938,33.01086,32.91495,32.83383,32.67499,32.58902,32.5463
6.965889931,-6.23,-3.297,32.93283,32.92307,33.00763,32.91464,32.8363,32.67841,32.59351,32.55194
7.042514086,-6.302,-3.328,32.91348,32.9119,33.00311,32.91409,32.84048,32.68341,32.59961,32.5582
7.117669106,-6.348,-3.36,32.90045,32.9054,32.99991,32.91351,32.84262,32.68704,32.60382,32.56305
7.194881916,-6.414,-3.388,32.88162,32.89502,32.99521,32.91168,32.84573,32.69177,32.61078,32.57056
7.270277977,-6.455,-3.417,32.86835,32.88797,32.9921,32.91013,32.84781,32.69504,32.61462,32.57504
7.34503293,-6.516,-3.442,32.84732,32.8765,32.98785,32.90915,32.85074,32.69867,32.62024,32.58243
7.419300079,-6.554,-3.469,32.83389,32.86877,32.9834,32.90805,32.85257,32.70151,32.62378,32.58676
7.495898962,-6.608,-3.492,32.81393,32.85742,32.97632,32.90433,32.85489,32.7063,32.62939,32.5921
7.572201967,-6.642,-3.517,32.79953,32.84921,32.97241,32.90295,32.85654,32.70914,32.63309,32.5965
7.648504972,-6.691,-3.538,32.77835,32.83737,32.96729,32.90021,32.85849,32.71161,32.63779,32.60281
7.722794056,-6.722,-3.559,32.76434,32.82898,32.96262,32.89822,32.85938,32.71368,32.64145,32.60773
7.800034046,-6.764,-3.577,32.74307,32.81607,32.95477,32.89462,32.86148,32.71738,32.64594,32.61279
7.874624014,-6.792,-3.596,32.72861,32.80704,32.94998,32.89209,32.86255,32.71997,32.6489,32.61588
7.950510025,-6.828,-3.612,32.70685,32.79462,32.94333,32.88785,32.86252,32.72189,32.65375,32.62262
8.027215004,-6.851,-3.628,32.69186,32.78577,32.93829,32.8851,32.86346,32.72369,32.65646,32.62598
8.103887081,-6.882,-3.641,32.66959,32.77118,32.93011,32.88141,32.86484,32.72626,32.65945,32.62982
8.175290108,-6.901,-3.654,32.65494,32.76196,32.92441,32.87875,32.86499,32.72705,32.66165,32.63327
8.25226593,-6.925,-3.665,32.63281,32.74878,32.91617,32.87283,32.86462,32.73004,32.66638,32.63794
8.327039957,-6.94,-3.676,32.61844,32.73923,32.91083,32.86981,32.86496,32.73093,32.66833,32.64047
8.403913021,-6.959,-3.684,32.59479,32.72443,32.90155,32.86523,32.86453,32.73129,32.67099,32.64505
8.48080802,-6.97,-3.692,32.57965,32.71439,32.89563,32.86124,32.86423,32.73218,32.673,32.64816
8.556891918,-6.983,-3.699,32.55698,32.69943,32.88611,32.85535,32.86368,32.73428,32.67587,32.65106
8.631514072,-6.989,-3.703,32.54144,32.68948,32.8797,32.85107,32.86346,32.73511,32.67728,32.65384
8.708408117,-6.996,-3.707,32.5184,32.67441,32.87024,32.84531,32.86172,32.73468,32.68018,32.65793
8.782803059,-6.998,-3.71,32.50217,32.664,32.86343,32.84064,32.86118,32.73508,32.68112,32.66013
8.860588074,-7,-3.71,32.4791,32.64813,32.85364,32.83472,32.86017,32.73569,32.68301,32.66211
8.933073044,-6.997,-3.71,32.46362,32.63736,32.84708,32.83069,32.85889,32.73547,32.68387,32.66388
9.008821011,-6.992,-3.709,32.44061,32.62256,32.83627,32.82257,32.85651,32.7356,32.68576,32.66714
9.086028099,-6.986,-3.705,32.4249,32.61139,32.82867,32.81741,32.85504,32.73532,32.68692,32.66919
9.163896084,-6.976,-3.702,32.40039,32.59485,32.81833,32.81137,32.85281,32.73401,32.68713,32.67014
9.237386942,-6.966,-3.696,32.38409,32.58374,32.81088,32.80588,32.85141,32.73334,32.68802,32.67245
9.314929008,-6.948,-3.69,32.36133,32.56744,32.79974,32.79752,32.84836,32.7334,32.68909,32.67352
9.387851,-6.935,-3.683,32.34601,32.55673,32.79175,32.79254,32.84659,32.73218,32.689,32.67444
9.465522051,-6.911,-3.673,32.32092,32.53983,32.78003,32.7847,32.84317,32.72977,32.6889,32.6767
9.539567947,-6.893,-3.662,32.30545,32.52817,32.7724,32.77921,32.84085,32.72946,32.68924,32.67758
9.617671967,-6.863,-3.65,32.28177,32.51099,32.76016,32.77032,32.83783,32.72821,32.68906,32.67703
9.690604925,-6.841,-3.638,32.26556,32.49908,32.75143,32.76486,32.8353,32.72665,32.68866,32.67801
9.768685102,-6.806,-3.623,32.2413,32.4826,32.74002,32.75571,32.83057,32.72372,32.68805,32.67911
9.843660116,-6.78,-3.607,32.22491,32.4707,32.73145,32.74976,32.8284,32.72253,32.68863,32.68018
9.920630932,-6.739,-3.591,32.20117,32.45282,32.71902,32.74109,32.82419,32.72,32.68646,32.67987
9.996027946,-6.709,-3.572,32.18552,32.44147,32.71078,32.73526,32.82089,32.71741,32.68555,32.67892
10.07069206,-6.662,-3.553,32.16187,32.42395,32.69772,32.72449,32.81577,32.71506,32.68506,32.67984
10.14668202,-6.629,-3.531,32.14648,32.41205,32.68896,32.71854,32.81281,32.7132,32.68411,32.67871
10.22296596,-6.575,-3.512,32.12149,32.39423,32.67642,32.70969,32.80801,32.70889,32.68164,32.67908
10.29690003,-6.538,-3.488,32.10541,32.38205,32.66766,32.70248,32.80429,32.70648,32.68036,32.6785
10.37305212,-6.479,-3.464,32.08182,32.36389,32.65332,32.69186,32.79922,32.70349,32.67853,32.67734
10.44805312,-6.438,-3.437,32.06659,32.35175,32.6441,32.68558,32.79556,32.70074,32.67654,32.67596
10.52592206,-6.373,-3.411,32.04208,32.33389,32.63135,32.67511,32.78894,32.69574,32.67432,32.67569
10.59864306,-6.329,-3.382,32.02618,32.3219,32.62228,32.66806,32.78519,32.69305,32.67245,32.67398
10.67639804,-6.259,-3.355,32.00269,32.30283,32.60773,32.65707,32.77936,32.68903,32.66934,32.67084
10.749933,-6.211,-3.322,31.98727,32.29092,32.59857,32.64993,32.77551,32.68539,32.66696,32.67032
10.82923007,-6.136,-3.291,31.96323,32.27292,32.58469,32.63956,32.7684,32.68048,32.66425,32.66895
10.90455699,-6.083,-3.256,31.9473,32.26105,32.57535,32.63174,32.76373,32.67697,32.66171,32.66678
10.98019004,-6.002,-3.224,31.92368,32.24158,32.56131,32.62125,32.75732,32.67169,32.65753,32.66251
11.05455709,-5.947,-3.186,31.90829,32.22974,32.55124,32.61337,32.75253,32.66812,32.6553,32.66245
11.13064909,-5.861,-3.152,31.88565,32.21158,32.53677,32.60074,32.74509,32.66287,32.65179,32.65939
11.20647907,-5.802,-3.113,31.8699,32.19934,32.52698,32.59311,32.74042,32.65915,32.64856,32.65674
11.28424501,-5.711,-3.076,31.84616,32.17996,32.51257,32.58249,32.73267,32.65216,32.64334,32.65399
11.35666394,-5.648,-3.033,31.83081,32.16776,32.50235,32.57449,32.72784,32.64771,32.64047,32.65103
